0,1,2,3,4,5,6,7,8,9,10
13797,4031,6674,1151,5786,17666,4697,4287,1357,11468,570
19696,3380,930,22467,13281,9989,5032,16553,20376,4594,8491
12706,3082,18597,11433,13355,13068,17595,4177,2479,20883,2590
12076,14976,12344,2877,4863,4538,20034,15570,19452,1595,14399
15218,3315,4020,10074,8628,7720,22623,5670,6906,6602,2690
19849,19721,1257,17395,4426,22443,17493,22365,15106,8898,21465
4834,11546,16542,10218,21554,11989,8420,1428,23207,4261,13740
13998,21361,22201,9878,7837,21601,13871,8315,22026,12597,18819
15459,21751,7303,14173,9405,6708,11272,164,6660,17495,5437
19208,9131,14414,17546,16285,11616,21942,9702,9293,162,21488
1244,9352,20399,10435,16447,1185,19883,1866,8911,12570,11559
6322,768,1619,2355,2238,22896,21030,10029,15660,22232,22262
13288,3342,18342,18738,15528,22154,8784,19217,19278,5287,11814
21536,15048,8414,14305,23027,9952,10720,6141,18073,17774,9903
9076,3020,5602,21488,8244,16285,14414,11827,15319,9293,9131
5508,16854,18822,21678,20767,22427,13705,10911,5049,5114,12961
18353,4320,6543,19070,4012,2979,6552,11924,4539,16123,16967
14983,1879,19095,8742,4755,20068,21303,6937,5972,9545,5375
6018,22061,9595,8068,18212,10988,13514,9796,19046,19471,5643
22803,7806,10712,11552,1896,1160,16511,374,16951,19933,10509
14864,16330,13522,10154,19096,4776,4937,3340,160,3935,14788
17122,7710,13850,14660,22943,13446,17389,11780,5123,22736,12303
15363,7449,17558,14761,7860,15807,10632,3597,1609,12074,4640
17558,14538,10632,14761,15807,7860,20688,7449,169,12074,16693
1950,22465,13577,12168,11288,3453,14532,13425,21808,23120,2388
5908,3463,2918,5403,4560,9535,12854,20132,17538,52,7725
4711,8162,11928,9274,8523,22246,353,3306,5627,19169,2132
20366,19167,17624,8723,6904,19235,4991,23218,12346,11040,3233
10401,3925,21326,22447,18216,16275,2035,18703,1534,4312,14974
5160,15193,20638,17682,15634,8778,507,2688,14178,17560,18123
2293,18718,14012,5630,19672,8181,9792,5166,10481,8272,16452
17836,12573,9130,17969,2974,2797,8204,17791,11473,8736,766
19847,14140,16445,15510,981,17504,622,22256,10319,3917,5100
21303,20068,9767,4755,5972,8742,7179,15759,5274,19589,17442
10321,22987,18169,14267,1328,9463,21149,17817,21254,3321,8770
4652,21421,10786,13923,4425,12388,14895,11471,9138,13504,21749
11597,1624,3076,16112,4796,10824,8409,14160,18735,21583,20396
14228,12209,16069,18236,3322,9901,7253,11757,9684,11695,10723
16576,22445,10445,21057,8679,13501,9318,5620,1753,11421,16231
2789,7539,15608,16537,19594,12856,12191,3899,20223,947,15820
18563,18899,1914,367,17505,16726,1908,22866,18155,13213,5293
9245,7116,3937,13778,4976,20306,5712,15313,2599,14624,7095
8299,10044,15122,21427,5770,1278,15077,19556,468,4696,15256
19984,19025,19093,2094,7065,6679,19119,6170,5333,19272,574
5718,21101,2844,10105,12955,2936,12500,9194,17514,16985,16639
18076,4687,4752,3420,22195,14455,17772,6639,13594,1191,5878
18634,20602,11937,11884,9519,4008,1377,3830,3031,22942,13045
17068,8516,2683,705,4314,15729,12470,10088,10775,15250,3227
22190,2589,4695,5427,16989,17157,19608,16259,1606,15430,4288
9843,5461,14386,16994,1921,1845,4223,18314,13858,5514,9387
17219,14631,5267,8266,2868,1184,14317,9225,9818,17577,10516
17175,22017,10936,935,17055,14701,9457,14793,8034,11957,22479
6204,16529,17419,13711,15820,9201,23145,3921,6552,10570,22940
22925,9991,6083,21545,17977,17918,3495,18911,16876,16813,3802
10419,4730,21149,3321,22987,2938,8559,5101,14937,22677,4386
17163,5786,22561,2109,570,1151,6674,22965,8605,1357,16390
12837,3106,22558,17235,7702,12058,15255,8563,22518,20611,13319
5604,6656,12742,4963,510,4660,21754,14640,7072,10131,3551
8628,17731,2690,7720,5670,6602,4771,196,3315,15218,22623
12733,16702,3855,19643,1190,22675,9424,23196,15287,8291,4284
10144,844,8095,2297,16689,21242,19239,10065,21250,3369,22673
13709,7379,19047,22125,13416,19999,13121,21395,8688,22523,4788
15934,2750,8196,6005,22079,20719,13830,11073,2814,5506,16585
8357,12706,3082,8850,13068,17595,18597,11433,2479,1811,19431
21408,18683,6266,18977,13555,3129,9334,9533,6087,12434,13545
13258,3342,19278,15939,15875,13103,22154,1955,5287,18342,8303
18187,22447,8741,16275,18703,3610,18216,14974,1534,1172,8882
15811,15534,23030,1127,4960,22608,18904,21506,4354,7969,20346
1944,18948,5967,11451,2258,9146,11330,15978,1110,17425,22698
14774,21911,9577,11346,22906,9149,11242,20994,871,7532,5076
3368,12696,6293,4293,18514,14154,23056,6404,8634,15687,19578
15720,2605,18876,6876,16092,9974,12759,6861,17132,246,16290
13037,14940,18841,15528,3342,11277,11814,22154,22025,9408,1686
531,10193,20422,15177,7478,18342,5287,3342,3155,9673,5809
8829,19998,12019,15558,9191,14518,3887,22156,15248,18610,3888
14321,3896,22587,4810,19390,16545,19324,3469,22655,19632,15519
3902,16870,4182,13695,13161,10008,11428,19112,11120,12607,21787
20666,1387,21195,11854,22409,3064,19905,8969,14220,18068,4715
10368,1627,1037,8345,20788,660,15325,1933,13825,11701,2645
14230,21472,3431,870,13954,19689,5287,3342,529,15528,22154
18608,4959,5833,16418,6538,8819,9607,21329,2530,12933,13732
21798,6945,19148,12736,5490,22039,8894,16829,14661,9823,22496
4768,16586,8552,20679,12648,5212,19513,19476,7213,20930,5470
23056,14385,19578,18501,957,6293,19358,22555,3368,6404,12696
17937,19121,576,20521,12571,12869,14480,2542,16634,4518,15399
3129,21408,18683,5197,17793,138,1169,6266,5943,18632,12434
16330,13522,6007,3340,19096,7722,4074,5523,18307,4776,21220
20498,22603,22721,21392,14950,15214,5096,13484,7347,3533,310
11952,22739,14414,17499,16285,9131,5602,4531,21942,9293,2800
14137,1866,20399,2239,10435,12570,9352,5902,1185,1244,16447
7303,14173,15459,11272,21751,6708,8372,7569,5437,6660,9405
12103,4596,1338,8183,17701,15935,1564,23172,8689,19677,6976
800,17769,16538,19811,20338,8589,21801,9183,10136,1466,9987
8414,23027,9952,14855,193,2001,14607,18288,10720,7937,17774
1137,22183,11069,14346,5006,18176,17356,18871,20836,10870,15456
10632,17558,12074,14761,15807,7860,20688,3047,14147,15835,4640
20521,576,16634,1602,12869,17277,15399,15394,18742,9418,15309
843,19650,14420,3447,937,3932,16804,22617,12993,8269,19190
6834,9810,5511,6216,7772,12219,18320,6036,3992,9017,13591
9099,12188,17918,3495,20387,21545,14765,13917,11977,16813,5387
7421,4196,21618,10918,21974,18506,14079,3513,17147,2415,17997
11813,18569,7496,4997,22833,9958,11000,7592,7422,5956,13747
20538,21350,12980,12826,8768,19142,13127,23139,10343,21312,1773
14198,22131,14900,14166,4128,11524,13457,15603,11271,14957,16531
17297,9286,9451,18710,2978,6220,19372,8200,18211,15033,2627
3245,7797,1992,4781,8096,9893,9985,17295,11450,6240,8724
7301,21937,13589,4428,19450,10907,21737,21847,21560,11176,2454
21053,3504,2335,1758,7824,15155,13808,18286,1355,8425,4783
5908,52,4560,3463,7725,5403,17550,20759,8708,12854,2918
1858,10157,15625,4918,11032,13282,4668,11861,19472,18174,15467
19756,19056,8934,5895,10692,4756,23040,15562,10316,10649,1380
11465,4423,18687,349,13287,7661,8340,12965,16364,17263,10663
17218,12821,1376,117,21565,7738,8725,20963,18572,19025,19119
14628,20625,19144,15967,6501,8544,2975,2861,22127,724,10629
2586,17930,6199,22040,15348,11690,18364,16527,4713,3567,12146
8674,3945,3342,22154,15528,11814,13258,18342,19278,12518,8303
13794,11985,22142,961,9128,19915,12285,6436,3299,2626,14138
2605,9974,7228,18876,14477,10238,17132,1892,12105,16290,11504
11606,2642,10605,12198,20487,6435,21290,19436,23074,12213,1718
8414,9952,23027,14305,17774,18288,10129,14481,10720,19900,21536
21340,9901,11695,17130,12330,15296,7253,15884,9684,1999,12209
19753,20388,19129,8208,23229,5527,20659,19747,21287,16063,10564
4771,8628,3749,3315,6602,14942,15218,17731,5670,4020,22623
7512,6577,12430,5928,16212,6065,22393,8100,20944,7719,12532
3988,18944,6604,5166,17313,19657,8181,14012,16452,2293,10481
20159,20323,15165,2369,2342,9195,12243,17523,7764,21894,11443
9466,8213,17328,22378,702,709,22676,20897,23071,13978,22309
9094,10224,3425,16524,20812,11484,21167,7625,19310,22571,22330
18146,2643,20329,10396,22545,653,10266,14996,15702,14269,3266
4048,627,10998,4681,21229,8893,20080,18807,5157,17784,9179
1737,22441,14601,8973,4719,1691,3149,7447,16732,13997,11571
22154,9900,1686,21362,3514,3342,19278,5287,2415,21203,7478
4997,18569,11813,7496,22833,6554,1048,9958,16595,7422,7592
430,4329,15722,1151,11764,6025,11561,22991,6674,12063,19863
20207,4802,11740,19744,7217,5187,12575,22761,9316,9452,4434
2919,17762,9365,20354,22569,9093,236,812,2219,20189,13693
14723,18525,15213,15331,1669,9780,13019,9152,18955,1304,8769
14654,5686,1038,15973,1642,14161,22392,11895,16938,9806,16322
1588,22312,8,4118,2602,6480,9661,10931,12928,13062,18125
20943,4135,10461,21218,11568,21533,8093,7127,15512,7089,13903
17006,6452,3416,8939,19018,2722,10328,10243,8351,2332,3964
18294,18833,4091,2574,7951,7298,2709,3334,20981,20167,7685
6582,4228,6429,288,14565,8579,3921,522,4437,15820,8031
18649,537,13725,8904,9163,17142,10571,20060,7543,20106,606
16006,15037,11840,16362,22923,23179,12862,10012,11889,6563,7339
4025,11546,4834,16809,4261,1428,11989,5593,3293,23207,21554
6807,1218,2782,21637,22094,3479,15937,10205,6812,3182,3609
11069,1137,5006,22183,18871,21027,14346,363,10870,18176,4292
5055,12960,10157,6930,7584,1858,2923,14032,5161,14588,4918
9700,6534,2917,5754,21023,4221,3886,9951,16383,21118,7520
21662,12430,4,6577,6065,22393,7719,6878,21764,20520,10297
4482,3,3543,18014,12,5059,15893,6809,17613,4349,21127
5908,4560,2918,3463,6902,20132,52,17550,12854,20759,5403
16500,16508,17683,4092,8060,6385,13657,14050,19941,19909,6331
17546,14414,11827,11569,15054,1628,1865,18508,14850,4531,17121
3062,17376,6657,14457,8541,4961,18413,2362,7642,4198,20789
8128,21706,20704,9559,8877,13713,11186,10001,11507,22765,22078
12455,13599,4505,4594,19070,8298,10814,2979,12904,4012,11058
18738,22154,13602,3197,3342,14099,189,13258,15875,8293,19278
9487,13360,5245,17013,3656,7189,8156,21211,14516,4614,483
17403,13360,5245,8156,17013,7189,18927,9543,18480,483,4614
5908,52,20132,2918,3463,5403,4560,226,20759,4147,17550
17762,9365,9093,20189,2919,2219,20354,812,22569,209,13693
5267,17219,8266,14631,12353,20226,2868,8023,9225,10270,13927
18011,21053,12050,7824,181,1758,13808,2335,18286,2176,12149
6025,11764,16900,22965,1357,2217,6674,1705,3372,23149,13046
6526,19654,20208,8063,4579,878,10523,8386,5912,12653,7368
11764,13481,6674,16390,19079,1357,1151,6025,11561,12063,4287
8651,3823,1148,12707,11233,23084,13305,8678,658,922,10628
20579,8876,12900,1325,2146,15441,3909,10436,2621,19233,19814
16390,13481,22965,11561,5228,4287,19783,6674,11764,10725,348
705,10775,23031,17068,8516,12470,3227,2683,19564,3083,10088
16888,2605,17132,10726,16290,145,15720,18876,21806,9228,12228
18528,13939,16093,9110,4446,12040,6869,17345,13311,8906,3784
4394,22453,18954,3390,20085,20114,7314,6224,15115,11222,12681
21636,14348,8255,10606,2631,11477,14600,12526,2037,17647,22904
6638,8758,22817,585,18506,11453,5489,11135,4961,17997,10541
12249,1151,19079,4329,11468,7949,16390,18008,6674,570,20300
2836,12533,2605,18876,16290,9974,17132,4533,6876,16092,12167
3342,20451,11814,12518,14431,19217,7117,1686,22154,8784,16114
2653,10600,12210,17009,10067,2510,21741,21977,15619,7887,15846
6917,17037,15165,20865,14894,1613,4444,2369,21894,12385,15942
17647,11477,5742,641,3450,5764,14348,8447,14600,21928,20872
4290,14416,3459,2525,21286,20418,7461,6780,8007,10559,12176
20331,15984,17025,10780,7670,7232,11918,1707,1390,17348,14369
15978,18948,2258,9146,11330,1944,11451,17425,5967,4077,18063
7919,21706,20704,9763,10001,18771,22765,8128,7211,9559,230
2514,9792,10481,8181,16452,16311,15798,2293,5309,18718,4766
3416,8939,19018,6452,8690,16333,2332,889,10159,8351,14425
3728,10010,6320,9028,11221,20993,5131,17877,10944,18126,19630
18123,5160,17682,20638,23082,15193,14178,8778,15634,16134,6259
11546,1428,4834,11989,16392,4261,10218,21554,3293,16579,219
10418,15330,2829,8166,8390,21663,18065,22544,6039,3180,10349
853,15165,15942,2342,4444,9195,2369,12385,20323,21894,11443
5955,14172,8681,21501,11851,12740,14441,21909,2141,13219,3038
16617,7850,12441,5372,10126,20696,19613,1751,19616,8808,21081
19980,17448,19790,9636,17578,16137,1181,12943,484,20082,19827
6679,7598,15872,8725,19093,16195,11093,14489,20512,9723,73
8002,18865,10425,15503,19852,21268,15298,12619,18221,3901,1170
9972,19027,10363,18968,21936,6806,18172,4714,12088,4453,17078
2605,10758,18876,13821,7677,6861,16888,21806,12759,10726,16338
22400,16545,19632,14321,16589,17242,7046,7,3896,831,11135
14640,3551,510,6656,7072,12742,6515,5947,7717,12115,6361
17300,19233,14343,21209,1325,21914,350,3460,3909,2621,16703
12740,10142,14172,14441,15547,21501,2654,21909,14025,13219,2141
8942,12882,2381,2087,13810,1310,9147,8050,5611,2673,9939
9544,6709,14666,17813,6659,7588,22816,20032,8892,16117,4319
887,17741,9930,13434,14156,919,3358,17583,20292,22367,3745
20379,2239,1244,10435,12570,1866,14137,20399,19818,9246,9352
21224,2784,4095,1933,9488,15325,8345,13320,12171,20788,12552
12706,3082,18597,11433,17595,13068,2479,7938,5289,3685,8850
20687,5763,8264,12576,10793,1064,9359,22066,9438,7198,5574
16545,14321,19632,3896,12423,16589,22400,1726,5012,22587,6628
21072,20622,19309,4615,18033,21905,19629,13547,23145,15820,14128
17977,9201,21545,12541,23025,4977,3495,22014,18911,12727,12652
6322,17359,768,21030,2355,15660,4599,2238,22891,13230,1619
15828,14927,4235,10866,14790,11830,21890,10116,22672,9413,17215
6833,14777,22856,14669,21253,10566,21883,14482,21947,12906,8132
7239,2074,6030,15721,20559,1362,3646,15509,6086,18867,2942
7037,14215,17432,6239,12747,13534,15806,14353,13413,8046,19281
22619,16153,10805,1805,9100,10406,9088,20980,16785,18773,8878
7239,1362,15509,3646,14504,6030,20559,2074,17582,6086,1916
9700,2917,1704,5754,21118,21023,4221,9951,3886,21516,223
14974,22447,1534,1172,18216,7489,3610,4312,9628,12940,388
3463,4560,5908,2918,5696,16913,20132,5403,52,226,12854
21137,13979,12011,11807,21885,509,19566,11630,10015,12663,3136
6163,17174,3463,5908,14376,19013,1094,7725,8708,17550,5403
2917,9700,7011,7520,6534,13601,3808,21023,5754,4142,21118
5264,2908,22126,2955,6303,16788,4155,8140,10414,488,3513
62,15453,21196,21646,17028,4496,669,2322,9018,11371,13206
14073,20750,11006,7344,1574,6048,19662,15683,5230,14449,3355
9861,5510,11535,8449,8984,1976,7325,11239,9063,3172,18618
5038,13582,17981,464,1783,17196,15657,15174,20563,4124,3926
13876,1013,18586,7808,2420,16024,13398,14888,22685,2410,4751
7253,9901,13192,11695,16711,9684,9397,1999,12367,11757,5072
6369,2304,954,18858,13415,21567,18714,15810,4451,11917,779
22603,21392,20498,1478,13484,11792,1252,7347,3950,3641,7050
14367,20039,17657,4598,21166,22499,8371,17032,16091,13092,16590
9291,1350,7076,805,692,5168,22928,8929,23145,15125,21391
2961,8511,23152,4647,2170,6494,10124,6978,22811,7880,20814
11561,1151,1357,4616,4329,11468,6674,570,7949,14584,22964
9682,10287,11356,6525,14289,6514,15733,6992,14615,15784,5210
11356,10287,15784,9682,5210,15733,6525,14615,6514,22055,2030
15885,20433,14119,474,10233,14842,3711,10030,22058,9635,13645
8782,17669,9605,21782,18372,22266,15592,15247,12566,1869,9251
18597,12706,3082,4177,17595,11433,13068,5289,3184,2479,13268
19975,21877,15895,20911,1264,14150,13188,15016,9015,14340,16087
19683,8181,2293,14487,10481,16452,4766,20228,8227,15771,9103
2924,17068,1857,2683,705,16269,3227,15729,4314,10775,8516
7619,13306,4164,1618,19767,13633,7928,12007,8195,7409,13831
7619,13306,20760,7409,4164,1618,7928,19767,13831,13812,13633
2605,18876,9974,19807,12116,17132,16290,6861,21860,6876,13571
11306,17508,17509,1550,2311,13077,17360,19874,10314,2307,11453
17880,3219,16374,6395,22796,7934,17183,612,3965,18386,20673
8943,21357,2375,18522,19425,23119,5524,10170,16077,16600,11786
2643,20329,653,18146,10266,202,14996,22545,3266,5676,10396
9225,5267,8266,17219,20986,1184,14631,2868,9809,19904,6636
14321,11135,1938,19324,16545,831,3469,16224,22655,19632,16589
10183,9306,14680,1088,20866,11858,22928,8929,5168,22487,21715
19975,18788,15895,14150,20911,15016,9015,14340,1264,14162,21401
21651,10388,2907,4190,12487,18646,21767,16067,20470,19855,11866
2425,19761,6703,20641,11767,1592,1995,17815,1277,23,1383
21950,8107,17532,2576,7962,19728,248,5489,382,7247,19266
12699,696,7377,16461,6372,20909,16959,15544,11825,17333,15463
15580,10376,17827,12988,4442,391,8036,1875,22022,4867,1429
12859,2431,8509,2075,2697,4206,6057,13606,20549,8349,14771
15676,16844,5981,14643,14559,2792,6334,23019,4249,12593,18191
19578,6404,22555,23056,11694,19358,6293,14385,957,18514,14154
8010,738,9567,5616,19501,15245,17643,5744,22769,21873,16840
2661,5573,12399,19290,9883,10155,19035,13735,15091,9552,5352
15220,18802,4853,10809,13363,18138,12484,9114,21813,15682,6564
4640,14761,13000,17558,3117,7449,3928,10632,19131,3597,1609
20263,5992,7129,20089,22093,7900,18078,2033,12889,4345,411
8181,19672,5630,16452,10481,4766,6591,16858,16311,7472,2514
17666,5228,22620,19863,10902,2668,2061,16900,17919,5786,9697
4423,18687,12965,185,7661,13287,10663,16364,8340,11465,17263
2621,277,12621,18201,3909,14343,19814,17300,21914,10436,20115
5872,572,11094,17439,16759,1093,17194,8813,11958,9779,1116
6501,8544,17112,9666,6481,14628,17735,20625,19593,2861,11266
8162,22246,4711,100,2132,11928,8902,3306,5627,4280,19169
6945,21798,19148,5490,5205,9823,21429,12736,14661,22039,155
10540,15696,12337,11918,12222,7232,1707,18106,20331,8418,17025
16678,21004,10161,3032,8322,16903,4173,19463,12308,10056,10341
7553,576,20521,16634,4774,17937,19121,19367,3492,1880,10003
536,4909,8040,22714,2970,4089,2190,17882,22346,9148,7237
10429,3788,18933,485,18670,19636,12797,8396,11525,4366,2401
6176,12545,22510,6311,18894,20309,3522,22054,23070,2469,21615
14768,4029,3004,11856,18976,20096,14804,14549,14068,10387,9376
9999,22661,15075,16344,14456,15730,7142,16084,8161,6999,21160
1137,5006,11069,18871,22183,21027,14346,11852,18176,15456,17356
6322,21030,1619,22896,15660,19856,13230,10029,2238,2355,768
17937,11229,576,16292,8524,21031,10003,12571,20521,1880,3521
23057,20674,7357,8401,4174,9592,16120,19516,5074,19934,11892
18563,18899,17505,22866,1914,1908,18155,16726,1555,5293,13213
6200,4129,17230,9652,809,10225,9944,16253,22854,15898,14731
17709,22752,12562,18597,12706,2262,3082,20194,11433,4177,17595
16500,16508,227,4092,8060,17683,14050,3835,6385,13657,19941
12023,11222,15115,6607,20085,18954,3021,7432,4072,4770,1126
1174,9709,8325,4602,16409,4395,12817,20527,8099,19028,22928
1151,21106,4317,1603,6033,5786,1357,5116,4287,570,947
22981,1160,730,10509,10712,7806,16511,1896,19933,18766,16951
3449,21336,17923,582,6800,17844,9222,22722,6913,20885,6398
21349,14937,3321,21149,11741,10321,2938,18169,8569,22505,21703
14669,6833,14777,22856,21883,21947,14482,22691,10566,416,12154
3728,10010,11221,263,6320,3435,9028,18126,10944,20993,17877
11052,20155,23170,5985,15818,22504,4736,22710,4137,13090,20694
696,17449,11825,16810,16461,8581,12699,10417,10750,3565,6372
17958,4568,4012,11924,924,16967,8211,16123,6552,13323,12705
3909,1325,16703,3460,14343,21914,19814,19233,18201,9668,1442
7338,16654,10794,14159,15997,22395,16255,16477,22214,18995,21930
10508,18889,7996,22449,16851,14934,2612,15433,17781,8376,2781
7095,2599,4976,20306,14624,3937,7116,9245,13778,5712,8285
11634,22206,12431,10747,10813,1454,8528,1155,2490,1232,1112
6679,5932,7598,6170,20113,16329,14489,7922,15872,73,19093
22447,1534,18216,14974,1172,18703,16275,3610,7489,12940,9628
11137,8709,8433,8286,15861,13467,8923,11139,7574,925,20368
9870,4707,6020,8098,6370,15450,5312,12411,13635,6079,13444
15580,17827,10376,4867,4442,1875,1429,22022,15913,8036,15257
6320,3728,19630,10010,11221,263,1830,18126,10944,5131,9028
12179,22107,7609,19562,15490,18809,18131,69,10499,7225,15263
1805,16153,20980,9100,10805,9088,8878,9486,10406,4384,16785
393,12179,7609,19562,7225,18809,10499,22107,2899,69,15490
570,14571,10725,21028,13598,4659,6674,11468,13046,8605,20828
16396,20849,21363,5486,8663,1131,12561,22060,19857,20499,5771
1535,18416,11175,3153,11262,13551,16502,12627,2025,2989,11127
8190,9644,20066,12390,15120,3798,1873,8992,14013,21441,9634
6192,19125,5552,22732,7525,1431,12838,9656,2568,2676,17805
6878,22393,6577,12430,6065,7512,19344,20141,10297,20944,7308
18876,2605,6876,16290,11504,11631,17132,13571,16092,19807,3566
14117,15142,22924,14168,19943,13249,12194,9729,20028,18939,12325
14265,16842,17331,18662,794,18575,1804,749,7972,2852,11499
3947,16607,10953,8858,5991,22819,16407,19044,23160,14096,19004
12023,8348,18954,15115,6607,20085,4394,4072,7314,7432,1126
6833,14669,21883,14777,22856,10566,21947,12154,22691,14482,8132
6277,1051,22154,5287,7909,3342,419,2415,19217,19278,15528
19745,16915,16545,14321,17524,12032,22400,19632,13926,12423,20439
5883,9834,4682,1707,17025,16503,16377,1390,7232,14369,15984
5992,20089,7900,20263,18078,12889,10968,8765,10795,18198,4096
8270,14306,16526,501,22177,18039,7580,13076,21726,15914,17085
21565,19025,6679,20512,6170,5333,6506,21948,3608,19272,23128
3545,20294,1395,1152,3098,5798,14053,10545,2384,16877,3525
18313,428,9040,14877,1512,16119,2743,18383,22104,4197,15699
14777,21947,20633,6833,1365,22691,14669,22542,15422,14482,22362
12724,18022,4922,1388,8971,11874,4604,9224,20040,2468,22831
7143,20102,18246,11676,15279,558,7954,13843,18283,22349,21070
13395,12518,3342,8784,2482,5287,15528,3431,3155,22154,18342
6410,20263,20089,5992,7900,10968,12889,18078,18337,4345,1891
13068,2262,7902,12706,11433,13355,4177,6455,12695,3082,8850
3157,22407,20243,13575,15867,19966,9593,11534,16850,4063,14770
5470,19476,15071,12648,4768,12153,3073,6606,10150,19957,8552
14635,5255,17984,13299,13573,20784,18244,11148,15372,8152,21629
9256,1149,19060,16066,1803,12380,22767,12218,3241,13828,7100
9245,2599,4976,15313,7116,3937,20306,13778,38,115,7403
14172,12740,14441,5535,13846,19473,21817,15547,10142,13219,2654
